iter	Passed	Remaining
622	1063	643
623	1064	641
624	1067	640
625	1070	639
626	1071	637
627	1072	635
628	1073	633
629	1076	632
630	1078	630
631	1079	628
632	1081	626
633	1083	625
634	1085	623
635	1086	621
636	1088	620
637	1088	617
638	1090	615
639	1092	614
640	1093	612
641	1096	611
642	1099	610
643	1101	608
644	1103	607
645	1104	605
646	1105	603
647	1108	601
648	1109	599
649	1110	597
650	1113	596
651	1115	595
652	1117	593
653	1119	592
654	1120	590
655	1121	588
656	1122	586
657	1123	584
658	1124	581
659	1127	580
660	1129	579
661	1130	577
662	1131	575
663	1132	573
664	1133	571
665	1134	569
666	1135	566
667	1136	564
668	1137	562
669	1138	560
670	1139	558
671	1142	557
672	1144	556
673	1146	554
674	1147	552
675	1148	550
676	1150	548
677	1151	546
678	1152	544
679	1153	542
680	1154	540
681	1155	538
682	1157	537
683	1160	535
684	1161	533
685	1162	531
686	1163	529
687	1164	528
688	1165	526
689	1167	524
690	1168	522
691	1170	520
692	1172	519
693	1175	518
694	1177	516
695	1178	514
696	1179	512
697	1180	510
698	1181	508
699	1183	507
700	1184	505
701	1185	503
702	1187	501
703	1188	499
704	1190	498
705	1191	496
706	1193	494
707	1194	492
708	1195	490
709	1195	488
710	1196	486
711	1197	484
712	1197	482
713	1199	480
714	1199	478
715	1202	477
716	1205	475
717	1206	473
718	1208	472
719	1211	471
720	1218	471
721	1220	470
722	1222	468
723	1224	466
724	1226	465
725	1228	463
726	1231	462
727	1234	461
728	1235	459
729	1237	457
730	1240	456
731	1241	454
732	1243	452
733	1244	451
734	1246	449
735	1247	447
736	1249	446
737	1251	444
738	1252	442
739	1254	440
740	1256	439
741	1257	437
742	1259	435
743	1260	433
744	1262	432
745	1264	430
746	1266	428
747	1267	426
748	1268	425
749	1270	423
750	1271	421
751	1272	419
752	1274	418
753	1275	416
754	1278	414
755	1280	413
756	1282	411
757	1283	409
758	1285	408
759	1286	406
760	1288	404
761	1289	402
762	1291	401
763	1293	399
764	1294	397
765	1296	396
766	1297	394
767	1298	392
768	1300	390
769	1302	388
770	1303	387
771	1305	385
772	1306	383
773	1308	381
774	1309	380
775	1311	378
776	1312	376
777	1314	375
778	1315	373
779	1317	371
780	1318	369
781	1319	367
782	1321	366
783	1324	364
784	1326	363
785	1327	361
786	1328	359
787	1329	357
788	1330	355
789	1332	354
790	1333	352
791	1334	350
792	1335	348
793	1340	347
794	1342	346
795	1343	344
796	1344	342
797	1345	340
798	1347	338
799	1348	337
800	1350	335
801	1351	333
802	1354	332
803	1356	330
804	1357	328
805	1358	327
806	1360	325
807	1361	323
808	1362	321
809	1364	320
810	1366	318
811	1368	316
812	1369	314
813	1372	313
814	1374	311
815	1375	310
816	1376	308
817	1378	306
818	1379	304
819	1381	303
820	1382	301
821	1384	299
822	1386	298
823	1388	296
824	1389	294
825	1390	292
826	1391	291
827	1393	289
828	1394	287
829	1396	286
830	1398	284
831	1399	282
832	1401	281
833	1403	279
834	1405	277
835	1406	275
836	1407	274
837	1409	272
838	1410	270
839	1412	268
840	1414	267
841	1415	265
842	1416	263
843	1418	262
844	1419	260
845	1421	258
846	1422	257
847	1424	255
848	1426	253
849	1427	251
850	1429	250
851	1431	248
852	1433	246
853	1434	245
854	1435	243
855	1437	241
856	1438	240
857	1440	238
858	1442	236
859	1444	235
860	1446	233
861	1447	231
862	1449	230
863	1450	228
864	1452	226
865	1453	224
866	1454	223
867	1456	221
868	1457	219
869	1459	218
870	1461	216
871	1462	214
872	1463	212
873	1464	211
874	1465	209
875	1466	207
876	1468	205
877	1469	204
878	1471	202
879	1473	200
880	1476	199
881	1477	197
882	1478	195
883	1479	194
884	1480	192
885	1482	190
886	1483	189
887	1485	187
888	1487	185
889	1488	183
890	1490	182
891	1492	180
892	1494	179
893	1495	177
894	1497	175
895	1498	173
896	1499	172
897	1501	170
898	1502	168
899	1504	167
900	1505	165
901	1507	163
902	1508	162
903	1509	160
904	1511	158
905	1512	156
906	1514	155
907	1515	153
908	1516	151
909	1519	150
910	1521	148
911	1522	146
912	1523	145
913	1524	143
914	1526	141
915	1527	140
916	1529	138
917	1530	136
918	1531	135
919	1533	133
920	1535	131
921	1537	130
922	1538	128
923	1539	126
924	1540	124
925	1541	123
926	1542	121
927	1543	119
928	1544	118
929	1545	116
930	1547	114
931	1548	112
932	1550	111
933	1552	109
934	1553	108
935	1554	106
936	1555	104
937	1557	102
938	1559	101
939	1560	99
940	1562	97
941	1564	96
942	1566	94
943	1568	93
944	1569	91
945	1570	89
946	1572	87
947	1573	86
948	1574	84
949	1575	82
950	1576	81
951	1578	79
952	1580	77
953	1582	76
954	1583	74
955	1584	72
956	1586	71
957	1588	69
958	1589	67
959	1591	66
960	1592	64
961	1593	62
962	1595	61
963	1597	59
964	1598	57
965	1599	56
966	1600	54
967	1601	52
968	1603	51
969	1604	49
970	1605	47
971	1606	46
972	1608	44
973	1610	42
974	1611	41
975	1612	39
976	1614	38
977	1615	36
978	1617	34
979	1619	33
980	1620	31
981	1621	29
982	1623	28
983	1625	26
984	1627	24
985	1628	23
986	1629	21
987	1630	19
988	1631	18
989	1632	16
990	1633	14
991	1635	13
992	1636	11
993	1640	9
994	1641	8
995	1643	6
996	1644	4
997	1645	3
998	1646	1
999	1648	0
